source_ip,source_port,destination_port,honeypot,country
"46.101.208.222",46316,8088,"dionaea",
"125.64.94.200",38084,591,"dionaea",
"176.119.4.30",47008,33792,"dionaea",
"185.244.25.164",53380,8088,"dionaea",
"178.184.165.187",57785,1433,"dionaea",
"178.184.165.187",20684,1433,"dionaea",
"138.68.65.19",34264,8088,"dionaea",
"92.53.90.182",47211,5824,"dionaea",
"194.28.115.243",53562,50001,"dionaea",
"172.104.122.237",33252,9080,"dionaea",
"198.108.67.42",24221,8089,"dionaea",
"80.211.11.13",47680,8088,"dionaea",
"178.128.98.86",41595,5900,"dionaea",
"80.211.11.13",53067,8088,"dionaea",
"209.97.152.146",33769,8088,"dionaea",
"176.119.4.7",54784,39941,"dionaea",
"103.233.80.71",61785,445,"dionaea",
"125.64.94.200",56451,591,"dionaea",
"103.233.80.71",61755,445,"dionaea",
"209.141.35.236",55153,8088,"dionaea",
"103.233.80.71",61696,445,"dionaea",
"209.141.56.95",49981,8088,"dionaea",
"103.233.80.71",61666,445,"dionaea",
"103.233.80.71",61624,445,"dionaea",
"103.233.80.71",61597,445,"dionaea",
"109.207.194.4",44583,23,"dionaea",
"46.101.9.8",38047,8088,"dionaea",
"176.119.4.56",56322,3322,"dionaea",
"176.119.7.50",41243,7368,"dionaea",
"46.101.199.124",40007,8088,"dionaea",
"78.128.112.54",44905,60135,"dionaea",
"209.141.35.236",45079,8088,"dionaea",
"171.232.153.220",30127,23,"dionaea",
"185.255.31.14",55890,7071,"dionaea",
"68.183.123.55",51318,8088,"dionaea",
"185.255.31.14",55890,3385,"dionaea",
"68.183.123.55",53518,8088,"dionaea",
"185.255.31.14",55890,996,"dionaea",
"185.244.25.164",54537,8088,"dionaea",
"178.62.41.160",33409,8088,"dionaea",
"194.28.115.243",53562,8389,"dionaea",
"185.244.25.164",34888,8088,"dionaea",
"194.28.115.245",54402,33896,"dionaea",
"185.8.50.73",53597,8088,"dionaea",
"185.244.25.144",56424,8080,"dionaea",
"150.242.18.215",14319,8080,"dionaea",
"223.80.12.137",60341,23,"dionaea",
"194.28.115.245",54402,3000,"dionaea",
"123.207.52.101",41986,2323,"dionaea",
"185.153.198.222",41727,33890,"dionaea",
"103.233.80.71",56168,445,"dionaea",
"185.214.45.70",1170,23,"dionaea",
"178.62.41.160",41243,8088,"dionaea",
"142.93.204.158",47063,8088,"dionaea",
"176.119.4.27",40737,822,"dionaea",
"206.189.6.137",6266,23,"dionaea",
"176.119.4.18",44828,3638,"dionaea",
"104.248.216.219",40236,8080,"dionaea",
"46.101.128.119",50364,8088,"dionaea",
"209.141.56.95",43866,8088,"dionaea",
"163.172.227.193",58205,5038,"dionaea",
"176.119.4.18",44828,3701,"dionaea",
"35.233.45.131",41812,80,"dionaea",
"104.248.216.219",48043,8080,"dionaea",
"176.119.4.18",44828,3694,"dionaea",
"209.97.152.146",33136,8088,"dionaea",
"35.233.45.131",55361,6380,"dionaea",
"46.101.208.222",60700,8088,"dionaea",
"209.141.35.236",50873,8088,"dionaea",
"205.185.119.229",51785,8088,"dionaea",
"142.93.204.158",60804,8088,"dionaea",
"80.211.11.13",35486,8088,"dionaea",
"196.87.174.30",5482,5555,"dionaea",
"185.244.25.164",40540,8088,"dionaea",
"190.160.226.158",38452,23,"dionaea",
"138.68.71.163",57227,8088,"dionaea",
"139.162.120.104",34349,993,"dionaea",
"178.62.41.160",44417,8088,"dionaea",
"185.255.31.14",55890,9915,"dionaea",
"209.141.35.236",58136,8088,"dionaea",
"185.8.50.73",46112,8088,"dionaea",
"121.221.132.73",37192,8001,"dionaea",
"46.101.9.8",43915,8088,"dionaea",
"80.211.147.147",56649,60022,"dionaea",
"209.141.56.95",47238,8088,"dionaea",
"92.53.90.191",53445,1631,"dionaea",
"128.199.42.7",40272,6379,"dionaea",
"185.244.25.164",38701,8088,"dionaea",
"138.68.71.163",45700,8088,"dionaea",
"85.93.20.252",48456,3377,"dionaea",
"67.176.80.23",11150,23,"dionaea",
"189.181.40.161",33753,80,"dionaea",
"77.72.85.8",46121,11111,"dionaea",
